ANT	3.55	8.75	180.00	PRO-OB-440	PRO-OB-440_1
BATTERY1	5.20	31.75	90.00	S2B-PH-SM4-TB(LF)(SN)	JST-2-SMD
C1	10.23	5.21	0.00	4.7pF	C0603
C11	18.45	22.40	90.00	22uF	C0603
C13	11.15	24.60	270.00	10pF	C0603
C14	8.80	14.25	0.00	0.1uF	C0603
C15	8.82	12.76	0.00	0.1uF	C0603
C16	10.25	26.90	180.00	10uF	C0603
C18	9.55	21.65	90.00	10pF	C0603
C2	7.80	4.45	90.00	4.7pF	C0603
C20	10.80	17.40	180.00	0.1uF	C0603
C24	10.80	19.40	180.00	10uF	C0603
C29	20.00	25.35	270.00	22uF	C0603
C3	11.00	7.55	90.00	0.1uF	C0603
C31	18.45	19.45	270.00	33pF	C0603
C33	16.20	18.75	0.00	10pF	C0603
C38	20.90	8.65	90.00	10uF	C0603
C8	22.25	8.65	90.00	10uF	C0603
C9	7.65	37.45	180.00	10uF	C0603
D1	0.80	25.00	90.00	MF-LED-0603-RED	LED0603
D4	72.44	4.23	180.00	MF-LED-3228-RGB	PLCC4
ESP32-PICO-D4	16.30	7.55	180.00	ESP32-PICO-D4	PQFN50P700X700X104-49N
J1	2.83	31.80	270.00	MF-CON-MICROUSB-RIGHT	MICROUSB-RIGHT
L1	10.26	3.55	0.00	30Ω/1.8A	L0603
R1	11.00	10.55	90.00	10k	R0603
R12	8.70	6.70	180.00	10k	R0603
R13	8.70	8.20	180.00	10k	R0603
R14	8.70	9.70	180.00	10k	R0603
R16	13.85	17.75	90.00	1K	R0603
R2	22.18	17.19	0.00	10k	R0603
R21	2.50	25.10	270.00	1K	R0603
R22	9.55	24.60	90.00	220K	R0603
R24	11.15	21.65	270.00	220K	R0603
R26	20.00	19.45	270.00	680K	R0603
R28	19.20	17.20	180.00	121K	R0603
R29	16.20	17.20	0.00	15K	R0603
R30	18.20	14.35	270.00	10k	R0603
R31	15.45	14.30	270.00	10k	R0603
R36	20.90	13.05	270.00	10k	R0603
R40	48.32	3.77	180.00	1k	R0603
R41	48.32	0.97	180.00	1k	R0603
R42	48.30	2.37	180.00	1k	R0603
R43	8.72	11.25	180.00	10k	R0603
R8	18.45	25.35	270.00	3K	R0603
R9	20.00	22.40	90.00	560K	R0603
S1	53.70	1.71	0.00	EVQ-P4HB3B	SW_EVQ-P4HB3B
S2	39.55	39.44	180.00	EVQ-P4HB3B	SW_EVQ-P4HB3B
S3	25.55	39.44	180.00	EVQ-P4HB3B	SW_EVQ-P4HB3B
S4	53.70	39.44	180.00	EVQ-P4HB3B	SW_EVQ-P4HB3B
TP1	12.75	17.70	0.00	TEST-POINT2	PAD.02X.02
TP2	12.75	18.40	0.00	TEST-POINT2	PAD.02X.02
U1	15.00	23.15	0.00	 LTC3586EUFE-1#PBF	QFN40P600X400X80-39N
U2	12.20	29.55	180.00	MAX17260SETD+	SON40P300X300X80-15N
VREG_MODE	22.05	21.90	90.00	VREG MODE	SJ_2
